nanoseconds,microseconds,milliseconds,seconds,hours
6390,6.39,0.00639,6.39e-06,1.775e-09
62460,62.46,0.06246,6.246e-05,1.735e-08
394317,394.317,0.394317,0.000394317,1.09533e-07
1.75126e+06,1751.26,1.75126,0.00175126,4.8646e-07
1.02496e+07,10249.6,10.2496,0.0102496,2.84711e-06
1.2346e+08,123460,123.46,0.12346,3.42945e-05
4.12986e+10,4.12986e+07,41298.6,41.2986,0.0114718
1.02124e+12,1.02124e+09,1.02124e+06,1021.24,0.283677
