nanoseconds,microseconds,milliseconds,seconds,hours
5.50943e+11,5.50943e+08,550943,550.943,0.15304
1.05876e+12,1.05876e+09,1.05876e+06,1058.76,0.2941
3.67467e+06,3674.67,3.67467,0.00367467,1.02074e-06
