Algorithm,nanoseconds,microseconds,milliseconds,seconds,hours
Quicksort,2.27223e+08,227223,227.223,0.227223,6.31176e-05
Merge sort,1.99203e+08,199203,199.203,0.199203,5.53342e-05
Selection sort,1.05372e+12,1.05372e+09,1.05372e+06,1053.72,0.292699
Insertion sort,5.50943e+11,5.50943e+08,550943,550.943,0.15304
Bubble sort,3.20918e+12,3.20918e+09,3.20918e+06,3209.18,0.89144
