Algorithm,nanoseconds,microseconds,milliseconds,seconds,hours
Quicksort,3.30104e+10,3.30104e+07,33010.4,33.0104,0.00916955
Merge sort,9.88117e+11,9.88117e+08,988117,988.117,0.274477
Selection sort,10530072000000000,10530072000000,10530072000,10537200,2927
Insertion sort,5509430000000000,5509430000000,5509430000,5509430,1530.3972222
Bubble sort,32091800000000,32091800000000,32091800000,32091800,8914.3888889
