Algorithm,nanoseconds,microseconds,milliseconds,seconds,hours
Quicksort,522122,522.122,0.522122,0.000522122,1.45034e-07
Merge sort,717234,717.234,0.717234,0.000717234,1.99232e-07
Selection sort,3.15427e+06,3154.27,3.15427,0.00315427,8.76186e-07
Insertion sort,645900,645.9,0.6459,0.0006459,1.79417e-07
Bubble sort,3.14462e+06,3144.62,3.14463,0.00314463,8.73507e-07
