Algorithm,nanoseconds,microseconds,milliseconds,seconds,hours
Quicksort,3.43598e+07,34359.8,34.3598,0.0343598,9.54438e-06
Merge sort,1.68032e+07,16803.2,16.8032,0.0168032,4.66756e-06
Selection sort,9.91516e+09,9.91516e+06,9915.16,9.91516,0.00275421
Insertion sort,5.3508e+09,5.3508e+06,5350.8,5.3508,0.00148633
Bubble sort,3.19203e+10,3.19203e+07,31920.3,31.9203,0.00886675
