Algorithm,nanoseconds,microseconds,milliseconds,seconds,hours
Quicksort,2.94327e+09,2.94327e+06,2943.27,2.94327,0.000817575
Merge sort,4.53019e+10,4.53019e+07,45301.9,45.3019,0.0125839
Selection sort,105300720000000,105300720000,105300720,105372,29.2502
Insertion sort,55094300000000,55094300000,55094300,55094.3,15.303972222
Bubble sort,320918000000,320918000000,320918000,320918,89.143888889
