Algorithm,nanoseconds,microseconds,milliseconds,seconds,hours
Quicksort,1.71453e+06,1714.53,1.71453,0.00171453,4.76259e-07
Merge sort,1.56226e+06,1562.26,1.56226,0.00156226,4.33962e-07
Selection sort,9.67538e+07,96753.8,96.7538,0.0967538,2.68761e-05
Insertion sort,5.13349e+07,51334.9,51.3349,0.0513349,1.42597e-05
Bubble sort,2.93334e+08,293334,293.334,0.293334,8.14818e-05
