nanoseconds,microseconds,milliseconds,seconds,hours
1843,1.843,0.001843,1.843e-06,5.11944e-10
41190,41.19,0.04119,4.119e-05,1.14417e-08
3.4604e+06,3460.41,3.46041,0.00346041,9.61224e-07
1.01026e+08,101026,101.026,0.101026,2.80629e-05
1.01397e+10,1.01397e+07,10139.7,10.1397,0.00281659
1.07043e+12,1.07043e+09,1.07043e+06,1070.43,0.297341
