Algorithm,nanoseconds,microseconds,milliseconds,seconds,hours
Quicksort,8.2836e+09,8.2836e+06,8283.6,8.2836,0.002301
Merge sort,1.28321e+07,12832.1,12.8321,0.0128321,3.56447e-06
Selection sort,9.45339e+09,9.45339e+06,9453.39,9.45339,0.00262594
Insertion sort,1.14195e+10,1.14195e+07,11419.5,11.4195,0.00317208
Bubble sort,2.16166e+10,2.16166e+07,21616.6,21.6166,0.0060046
