Algorithm,nanoseconds,microseconds,milliseconds,seconds,hours
Quicksort,4.84993e+08,484993,484.993,0.484993,0.00013472
Merge sort,4.37951e+10,4.37951e+07,43795.1,43.7951,0.0121653
Selection sort,104624000000000,104624000000,104624000,104624,29.062222222
Insertion sort,105876000000000,105876000000,105876000,105876,29.41
Bubble sort,211690000000000,211690000000,211690000,211690,58.802777778
