Algorithm,nanoseconds,microseconds,milliseconds,seconds,hours
Quicksort,6.41597e+09,6.41597e+06,6415.97,6.41597,0.00178221
Merge sort,1.01927e+12,1.01927e+09,1.01927e+06,1019.27,0.28313
Selection sort,10462400000000000,10462400000000,10462400000,10462400,2906.2222222
Insertion sort,10587600000000000,10587600000000,10587600000,10587600,2941
Bubble sort,21169000000000000,21169000000000,21169000000,21169000,5880.2777778
