Algorithm,nanoseconds,microseconds,milliseconds,seconds,hours
Quicksort,4.25925e+07,42592.5,42.5925,0.0425925,1.18313e-05
Merge sort,1.07936e+08,107936,107.936,0.107936,2.99822e-05
Selection sort,1.04624e+12,1.04624e+09,1.04624e+06,1046.24,0.290621
Insertion sort,1.05876e+12,1.05876e+09,1.05876e+06,1058.76,0.2941
Bubble sort,2.1169e+12,2.1169e+09,2.1169e+06,2116.9,0.588027
