Algorithm,nanoseconds,microseconds,milliseconds,seconds,hours
Quicksort,8.68063e+07,86806.3,86.8063,0.0868063,2.41129e-05
Merge sort,927254,927.254,0.927254,0.000927254,2.57571e-07
Selection sort,9.28501e+07,92850.1,92.8501,0.0928501,2.57917e-05
Insertion sort,1.03035e+08,103035,103.035,0.103035,2.86208e-05
Bubble sort,2.04632e+08,204632,204.632,0.204632,5.68422e-05
