Algorithm,nanoseconds,microseconds,milliseconds,seconds,hours
Quicksort,1.23494e+06,1234.94,1.23494,0.00123494,3.43039e-07
Merge sort,180234,180.234,0.180234,0.000180234,5.0065e-08
Selection sort,1.32162e+06,1321.62,1.32162,0.00132162,3.67117e-07
Insertion sort,1.52537e+06,1525.37,1.52537,0.00152537,4.23713e-07
Bubble sort,3.11201e+06,3112.01,3.11201,0.00311201,8.64446e-07
