Algorithm,nanoseconds,microseconds,milliseconds,seconds,hours
Quicksort,3.82531e+06,3825.31,3.82531,0.00382531,1.06259e-06
Merge sort,1.02496e+07,10249.6,10.2496,0.0102496,2.84711e-06
Selection sort,1.01397e+10,1.01397e+07,10139.7,10.1397,0.00281659
Insertion sort,328355,328.355,0.328355,0.000328355,9.12097e-08
Bubble sort,1.06829e+10,1.06829e+07,10682.9,10.6829,0.00296746
