Algorithm,nanoseconds,microseconds,milliseconds,seconds,hours
Quicksort,1.71486e+06,1714.86,1.71486,0.00171486,4.76349e-07
Merge sort,1.75126e+06,1751.26,1.75126,0.00175126,4.8646e-07
Insertion sort,1.01026e+08,101026,101.026,0.101026,2.80629e-05
Selection sort,28516,28.516,0.028516,2.8516e-05,7.92111e-09
Bubble sort,9.78233e+07,97823.3,97.8233,0.0978233,2.71732e-05
