Algorithm,nanoseconds,microseconds,milliseconds,seconds,hours
Quicksort,5.98224e+09,5.98224e+06,5982.24,5.98224,0.00166173
Merge sort,1.02124e+12,1.02124e+09,1.02124e+06,1021.24,0.283677
Insertion sort,3.15908e+08,315908,315.908,0.315908,8.77524e-05
Selection sort,10700000430000000,10700000430000,10700000430,10700000.43,2972.2223417
Bubble sort,10370000810000000,10370000810000,10370000810,10370000.81,2880.5557806
