Algorithm,nanoseconds,microseconds,milliseconds,seconds,hours
Quicksort,4.38148e+07,43814.8,43.8148,0.0438148,1.21708e-05
Merge sort,1.2346e+08,123460,123.46,0.12346,3.42945e-05
Selection sort,1.07043e+12,1.07043e+09,1.07043e+06,1070.43,0.297341
Insertion sort,3.67467e+06,3674.67,3.67467,0.00367467,1.02074e-06
Bubble sort,1.03781e+12,1.03781e+09,1.03781e+06,1037.81,0.28828
