Algorithm,nanoseconds,microseconds,milliseconds,seconds,hours
Quicksort,78222,78.222,0.078222,7.8222e-05,2.17283e-08
Merge sort,79471,79.471,0.079471,7.9471e-05,2.20753e-08
Insertion sort,3487,3.487,0.003487,3.487e-06,9.68611e-10
Selection sort,54154,54.154,0.054154,5.4154e-05,1.50428e-08
Bubble sort,56855,56.855,0.056855,5.6855e-05,1.57931e-08
