Algorithm,nanoseconds,microseconds,milliseconds,seconds,hours
Quicksort,1.20999e+06,1209.99,1.20999,0.00120999,3.36108e-07
Merge sort,246191,246.191,0.246191,0.000246191,6.83864e-08
Insertion sort,5195,5.195,0.005195,5.195e-06,1.44306e-09
Selection sort,1.02848e+06,1028.48,1.02848,0.00102848,2.8569e-07
Bubble sort,998512,998.512,0.998512,0.000998512,2.77364e-07
